Topic,Name,Type,Url,External ID,Description
,Python | LR | Extensive Python Course,Web Resource,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Python | LR | Extensive Python Course,For a more extensive and quick python coverage and course with few real world project implementation demo. Duration 6 Hours
,Python | LR | Extensive Python Course DSML,Video,https://www.youtube.com/watch?v=WGJJIrtnfpk,Python | LR | Extensive Python Course DSML,For an extensive and quick python with DS/ML flavour. Duration 12 hours.
,Python | LR | Installation general,Web Resource,https://www.youtube.com/watch?v=mbryl4MZJms,Python | LR | Installation general,
,Python | LR | Installation Ubuntu,Web Resource,https://www.youtube.com/watch?v=LwORmcaI69w,Python | LR | Installation Ubuntu,
,Python | LR | Installation Windows,Web Resource,https://www.youtube.com/watch?v=O5nHFBhCfFo,Python | LR | Installation Windows,
,Python | LR | JSON with python,Web Resource,https://www.programiz.com/python-programming/json,Python | LR | JSON with python,
,Python | LR | OOP,Web Resource,https://learning.oreilly.com/library/view/python-3-object-oriented/9781789615852/,Python | LR | OOP,
,Python | LR | Path & Env Variables Linux Mac,Web Resource,https://www.youtube.com/watch?v=PUIE7CPANfo,Python | LR | Path & Env Variables Linux Mac,
,Python | LR | Path & Env Variables Windows,Web Resource,https://www.youtube.com/watch?v=Y2q_b4ugPWk,Python | LR | Path & Env Variables Windows,
,Python | LR | PEP- 8 1,Web Resource,https://www.python.org/dev/peps/pep-0008/,Python | LR | PEP- 8 1,
,Python | LR | PEP- 8 2,Web Resource,https://realpython.com/python-pep8/,Python | LR | PEP- 8 2,
,Python | LR | Project Structure 1,Web Resource,https://docs.python-guide.org/writing/structure/,Python | LR | Project Structure 1,
,Python | LR | Project Structure 2,Web Resource,https://realpython.com/python-application-layouts/,Python | LR | Project Structure 2,
,Python | LR | Project Structure 3,Web Resource,https://python-packaging.readthedocs.io/en/latest/minimal.html,Python | LR | Project Structure 3,
,Python | LR | Project Structure 4,Web Resource,https://dev.to/codemouse92/dead-simple-python-project-structure-and-imports-38c6,Python | LR | Project Structure 4,
,Python | LR | Pyspark with python,Web Resource,https://realpython.com/pyspark-intro/,Python | LR | Pyspark with python,
,Python | LR | Quick Start Python,Web Resource,https://olympus.greatlearning.in/login,Python | LR | Quick Start Python,"For a quick start, you can register for a free course on Python basics from Great Learning Academy.(A 3.5 hrs course) covers all the python basics."
,Python | LR | Snowflake with Python 1,Web Resource,https://medium.com/@pandita.archit/getting-start-with-snowflake-with-python-21710becf6bf,Python | LR | Snowflake with Python 1,
,Python | LR | Snowflake with Python 2,Web Resource,https://docs.snowflake.com/en/user-guide/python-connector.html,Python | LR | Snowflake with Python 2,
,Python | LR | Sql Alchemy,Web Resource,https://towardsdatascience.com/sqlalchemy-python-tutorial-79a577141a91,Python | LR | Sql Alchemy,
,Python | LR | Sqlite module,Web Resource,https://www.tutorialspoint.com/sqlite/sqlite_python.htm,Python | LR | Sqlite module,
,Python Programming,Web Resource,https://learning.oreilly.com/videos/python-fundamentals/9780135917411/9780135917411-PFLL_Part1_Intro,Python Programming,Safari Books
,,,,,
FIVETRAN,,,,,
,Fivetran: Custom Ingestion with Functions,Web Resource,https://fivetran.com/docs/functions,Fivetran: Custom Ingestion with Functions,
,Fivetran: Fundamentals 1,Web Resource,https://fivetran.com/docs/getting-started/core-concepts,Fivetran: Fundamentals 1,
,Fivetran: Fundamentals 2,Web Resource,https://www.youtube.com/watch?v=R2rQwJyRjaw&list=PLf1ixTn00SJZSf79ELrmTkbs9vX50jLMY,Fivetran: Fundamentals 2,Watch the entire playlist
,Fivetran: Fundamentals 3,Web Resource,https://fivetran.com/docs/destinations/snowflake,Fivetran: Fundamentals 3,
,Fivetran: Knows REST API exists,Web Resource,https://fivetran.com/docs/rest-api,Fivetran: Knows REST API exists,
,Fivetran: Security,Web Resource,https://fivetran.com/docs/security,Fivetran: Security,
,,,,,
Dbt,,,,,
,DBT | Building a project,Web Resource,https://docs.getdbt.com/docs/building-a-dbt-project/projects,DBT | Building a project,How to build a project
,DBT | Debugging and Best Practices,Web Resource,https://docs.getdbt.com/docs/guides/debugging-errors/,DBT | Debugging and Best Practices,Best practices
,DBT | Introduction,Web Resource,https://docs.getdbt.com/docs/introduction,DBT | Introduction,Introducing DBT
,DBT | Seeting up the environment,Web Resource,https://discourse.getdbt.com/t/how-we-set-up-our-computers-for-working-on-dbt-projects/243,DBT | Seeting up the environment,How to setup the environment
,,,,,
GIT/GITLAB/Bitbucket,,,,,
,GIT | LR | Branching and Merging,Web Resource,https://git-scm.com/book/en/v2/Appendix-C%3A-Git-Commands-Branching-and-Merging,GIT | LR | Branching and Merging,
,GIT | LR | Collaborating,Web Resource,https://medium.com/@jonathanmines/the-ultimate-github-collaboration-guide-df816e98fb67,GIT | LR | Collaborating,Medium Resource
,GIT | LR | Commands,Web Resource,https://www.freecodecamp.org/news/understanding-git-basics-commands-tips-tricks/,GIT | LR | Commands,
,GIT | LR | Download and Installation Guide,Web Resource,https://git-scm.com/downloads,GIT | LR | Download and Installation Guide,
